MUST HAVE 400 WORDS FOR THE TOEFL AND IELTS,,,,,
№,Үг,Дуудлага,Үгсийн аймаг,Орчуулга,Жишээ өгүүлбэр
82,indisputable,/ˌɪn.dɪˈspjuː.tə.bl ̩/,adj,маргаангүй,The members of the jury found her guilty because they found the facts of the case indisputable.
83,anomaly,/əˈnɒm.ə.li/,n,"гажиг, хэвийн бус",White tigers get their beautiful coloring from a genetic anomaly.
84,intervene,/ˌɪn.təˈviːn /,v,хөндлөнгөөс оролцох,The Central Bank intervened in the currency markets today to try to stabilize the exchange rate.
85,consciously,/ˈkɒn. t  ʃə.sli/,adv,санаатайгаар,"I remember consciously saying to myself, ""I do not want to be like them."""
86,intuitively,/ɪnˈtjuː.ɪ.tɪv.li/,adv, зөн совингоороо,Many mothers know intuitively when something is wrong with their children.
87,degrade,/dɪˈgreɪd/,v,"дордуулах, муутгах, доромжлох ","The roads in cold or wet areas of the United States degrade faster than those in warm, sunny regions."
88,recede,/rɪˈsiːd/,v,"алсрах, холдох, бүдгэрэх, татрах","After the age of 30, his hairline began to recede further back from his forehead."
89,gap,/gæp,n,завсар,The small gap between the walls in the old house caused cold drafts to come in.
90,retrieve,/rɪˈtriːv/,v,буцааж авчрах,Most dogs can be trained to retrieve objects that their owners have thrown.
91,agnostic,/ægˈnɒs.tɪk/,adj,"танин мэдэхүйг үгүйсгэгч, бурхан байхгүй гэх үзэлтэй",His devoutly Christian parents had problems with his agnostic beliefs.
92,deify,/ˈdeɪ.ɪ.faɪ/,v,бурханчлан шүтэх,"When people deify the leader of their country, the leader is able to abuse power more easily."
93,animism,/ˈæn.ɪ.mɪ.z ə m/,n,Байгаль дахь бүх зүйлс  сүнстэй гэж үздэг үзэл,Desert cultures that practice animism often believe that winds contain spirits.
94,ecclesiastical,/ɪˌkliː.ziˈæs.tɪk. ə l/,adj,"шашны, сүмийн, хийдийн",He was looking specifically for a university where he could study ecclesiastical history.
95,atheist,/ˈeɪ.θi.ɪst/,n,шүтлэггүй хүн,He argued that his scientific training made it impossible for him to be anything but an atheist.
96,exalt,/ɪgˈzɒlt,v,өндөрт өргөн магтах,He would often exalt the virtues of his new wife.
97,be inclined to,/ biː ɪnˈklaɪnd tʊ /,v,хандлагатай байх,"He couldn’t say which candidate he favored, but he had always been inclined to vote Republican."
98,pious,/ˈpaɪ.əs/,adj,сүсэгтэй,Sometimes she was so pious that the rest of us felt like heathens.
99,contemplate,/ˈkɒn.təm.pleɪt,v,эргэцүүлэн бодох,"If you contemplate each step for so long, we will never complete this project on time."
100,sacrifice,/ˈsæk.rɪ.faɪs/,v,тахил өргөх золиослох,"Every harvest time, the Fadeloni people sacrificed vegetables to their gods as a show of thanks."
101,aggravate,/ˈæg.rə.veɪt/,v,"муутгах, дордуулах",Running will aggravate your sore knees.
102,persist,/pəˈsɪst/,v,тасралтгүй зүтгэх,"If your symptoms persist, you should go see a doctor."
103,decrepit,/dɪˈkrep.ɪt/,adj,"ямбий, хуучирсан","The once-beautiful building was now dirty, decrepit, and roofless."
104,prognosis,/prɒgˈnəʊ.sɪs/,n,таамаглал,The room fell silent when the doctor gave Senator Grebe a grim prognosis of months of treatment.
105,disease,/dɪˈziːz/,n,өвчин эмгэг,"Thanks to developments in medicine, many once-fatal diseases can now be cured."
106,terminal,/ˈtɜː.mɪ.nəl/,"adj, n","эдгэшгүй, эцсийн буудал",The cancer ward at the hospital held both terminal and recovering patients.
107,fatally,/ˈfeɪ.t ə l.i/,adv,үхлийн,The soldier was fatally wounded in the battle.
108,vein,/veɪn/,n,венийн судас,"She became fascinated with human anatomy, especially when she learned how veins transport oxygen."
109,forensic,/fəˈren.zɪk/,adj,шүүх эмнэлгийн ,Advances in the study of forensics have made it much easier to identify criminals from very small traces of evidence.
110,wound,/wuːnd/,v,шархдуулах,Sometimes he didn’t realize his sharp humor could wound as well as entertain.
111,anesthesia,/ˌæn.əsˈθiː.zi.ə/,n,нойрсуулагч,The Civil War was the first American war when anesthesia was widely used in surgery on soldiers.
112,implant,/ɪmˈplɑːnt/,v,шилжүүлэн суулгах,The actress had cheek implants to make her face look fuller.
113,augment,/ɔːgˈment/,v,"нэмэгдүүлэх, ихэсгэх",In some types of popular cosmetic surgery people augment parts of their bodies.
114,inject,/ɪnˈdʒekt/,v,тарих,The doctor used a needle to inject the medicine slowly into her arm.
115,certifiably,/ˈsɜː.tɪ.faɪ.ə.bll̩/,adv,албан ёсоор,He couldn’t be institutionalized until he was declared certifiably insane.
116,obese,/ə ʊ  ˈbiːs/,adj,хэт тарган,More Americans are obese now because U.S. culture encourages over eating and discourages exercise.
117,complication,/ˌkɒm.plɪˈkeɪ.ʃ ə n/,n,"хүнд, хэцүү, ярвигтай байдал",The surgeons could not easily stop the bleeding because of complications related to the patient’s diabetes.
118,procedure,/prəˈsiː.dʒə r /,n,үйл явц,The flight attendant explained the emergency evacuation procedure.
119,cure,/kjʊə r /,v,"эдгээх, эмчлэх",They say laughter can help cure many illnesses.
120,scar,/skɑː r /,n,сорви,"The surgery was successful, but it left a large scar across her abdomen."
121,astrological,/ˌæs.trəˈlɒdʒ.ɪ.k ə l/,adj,одон орны,"Every day, Mona read her astrological forecast in the newspaper, and she was careful if the horoscope predicted trouble."
122,invoke,/ɪnˈvəʊk/,v,сүнс дуудах,"In many religions, believers invoke their god by holding out their hands."
123,divination,/ˌdɪv.ɪˈneɪ.ʃ ə n/,n,мэрэг төлөг,"In Turkey, women offer divinations by reading the dregs from a coffee cup."
124,meditate,/ˈmiː.di.eɪt/,v,"бясалгах, бясалгал хийх","Every morning, the monks meditated for three hours in complete silence."
125,haunt,/hɔːnt/,v,"гарч ирэх, үзэгдэх","Some say the ghost of Princess Hilda haunts this castle, appearing as a headless form while she plays the piano."
126,phantom,/ˈfæn.t ə m/,n,"сүнс хий, үзэгдэл",Many visitors reported seeing a phantom who appeared around the lake.
127,horror,/ˈhɒr.ə r /,n,аймшгийн,"On Halloween night, all the horror movies were rented out."
128,psychic,/ˈsaɪ.kɪk/,adj,далдыг хардаг,The governor’s assistant claimed to have unique psychic abilities enabling him to read people’s minds.
129,intermediary,ˌɪn.təˈmiː.di.ə.ri/,n,зуучлагч,The plaintiff’s lawyer suggested that they hire an intermediary to help them discuss their case.
130,self-perpetuating,/ˌself.pəˈpet.juː.eɪ.tɪŋ/,adj,тасралтгүй үргэлжлэх чадалтай,"It is difficult to escape from a lie, as they are often self-perpetuating."
131,assimilate,/əˈsɪm.ɪ.leɪt/,v,ижил болгох,Not all of the overseas students could assimilate into the rigidly controlled school.
132,relic,/ˈrel.ɪk/,n,олдвор,Relics of the war can still be found in the sand dunes along this shore.
133,cremation,/krɪˈmeɪ.ʃ ə n/,n,чандарлалт,"Cremation is particularly common in Japan, where land for burial is very limited."
134,rite,/raɪt/,n,ёс заншил,You have to go through an initiation rite before you become a full member.
135,domesticate,/dəˈmes.tɪ.keɪt/,v,гэршүүлэх,"The Barnes family hoped to domesticate the tiger, but their neighbors were skeptical."
136,ritually,/ˈrɪt.ju.əli/,adv,ёс заншлаараа,The children ritually kissed their parents on the cheek before bed.
137,folklore,/ˈfəʊk.lɔː r /,n,ардын аман зохиол,"Through folklore, archaeologists have learned about the migration of Native Americans in North America."
138,saga,/sɑ.gə/,n,туульс,Many American families tell sagas about their ancestors’ arrival in the United States.
139,fossilize,/ˈfɒs.ɪ.laɪz,v,чулуужих,The dinosaur eggs had fossilized over thousands of years.
140,vestige,/ˈves.tɪdʒ/,n,ул мөр,The wilted flowers were the only vestige of their romantic weekend.
141,amend,/əˈmend/,v,нэмэн засварлах,The residents voted to amend their neighborhood policy on fences.
142,discriminate,/dɪˈskrɪm.ɪ.neɪt/,v,ялгаж салгах,The governor wisely discriminated between urgent issues and those that could wait.
143,biased,/ˈbaɪ.əst/,adj,"тал зассан, нэг талыг баримталсан",Her newspaper article was criticized for being heavily biased toward the mayor’s proposal.
144,notion,/ˈnəʊ.ʃ ə n/,n,санаа ойлголт,The notion that older office equipment is unreliable is inaccurate.
145,burden,/ˈbɜː.d ə n/,n,"дарамт, дараа, төвөг",The donkey walked slowly under the burden of its heavy load.
146,oppress,/əˈpres/,v,дарах шахах,Factory management oppressed workers through intimidation.
147,counter,/ˈkaʊn.tə r /,v,эсэргүүцэх,The hockey player countered the punch with a smashing blow from his hockey stick.
148,paradigm,/ˈpær.ə.daɪm/,n,"Загвар, хэв маяг",Some of these educators are hoping to produce a change in the current cultural paradigm.
149,de facto,/deɪfæk.təʊ/,adj,албан ёсны,Popular support established the Citizens Party as the de facto government.
150,prejudiced,/ˈpredʒ.ʊ.dɪst/,adj,муугаар нөлөөлдөг,Many consumers are prejudiced against commercial goods made in third-world countries.
151,curriculum,/kəˈrɪk.jʊ.ləm/,n,сургалтын хөтөлбөр,The teachers met to design a new curriculum for the Intensive English Program.
152,parochial,/pəˈrəʊ.ki.əl,adj,хязгаарлагдмал,Marla moved from her rural community to get away from its parochial thinking.
153,distinctly,/dɪˈstɪŋkt.li/,adv,"тодорхой, илэрхий",I distinctly remember saying that we would meet at noon.
154,rigor,/rɪg.ə,n,хатуу ширүүн,The wrestler followed his diet with rigor.
155,erudite,/er.ʊ.daɪt/,adj,эрдэм мэдлэгтэй,"Even though Stella was only a freshman, she was considered erudite by both her classmates and her professors."
156,roster,ˈrɒs.tə r /,n,ажлын хуваарь,Two of the names on the roster were misspelled.
157,fortify,/ˈfɔː.tɪ.faɪ/,v,"бэхлэх, хамгаалах",The high-priced drink had extra vitamins and minerals to fortify the body.
158,secular,/ˈsek.jʊ.lə r /,adj,шашны бус,Few private schools in the United States are secular.
159,implicitly,/ɪmˈplɪs.ɪt.li/,adv,шууд бусаар ,"By joining the competition, she agreed implicitly to the rules."
160,suspend,/səˈspend/,v,"зогсоох, болиулах",The circus acrobat was suspended in midair.
161,allegiance,/əˈliː.dʒ ə n t  s,n,шударга үнэнч,My allegiance to my country is based on respect for its principles.
162,in the trenches,/ ɪn.ðə trentʃ/,adv,"гол дунд нь, ид дунд нь",He's a salesman with 30 years of in-the-trenches experience.
163,artillery,/ɑːˈtɪl. ə r.i/,n,их буу,Naval gunfire and ground-based artillery are generally less accurate than many aircraft-borne weapons.
164,mobilize,/ˈməʊ.bɪ.laɪz/,v,"зохион байгуулах, бэлтгэх","After a terrible storm, the governor mobilized the National Guard to rescue victims."
165,battle,/ˈbæt.l ̩/,v,тулалдах,The Viet Minh battled French forces at Dien Bien Phu for nearly two months in 1954.
166,rank,/ræŋk/,v,"жагсах,  байрлах",The Marines ranked Jim Hurst highest among all their officer candidates.
167,cease,/siːs/,v,зогсоох болиулах,The company has decided to cease all UK operations after this year.
168,ratio,/ˈreɪ.ʃi.əʊ /,n,харьцаа,Military analysts say that the ratio of attackers to defenders in a battle should be about three to one for the attackers to win.
169,hierarchy,/ˈhaɪə.rɑː.ki/,n,шатлан захирах ёс,"Starting as a lowly private, Burt Jones gradually rose through the hierarchy of the army."
170,strategic,/strəˈtiː.dʒɪk/,adj,стратегийн,The United States has formed strategic friendships with Tajikistan and Mongolia to have Central Asian bases in the future.
171,annex,/ænˈeks/,v,газар нутгийг хүчээр эзэмшилдээ авах ,Bardstown grew by annexing several farms at the north edge of town.
172,invasive,/ɪnˈveɪ.sɪv/,adj,"үржимхий, ургамхай, түргэн ",Surgery with a laser is less invasive than surgery with a knife or scalpel.
173,apex,/ˈeɪ.peks/,n,оргил,Gregory knew that his running skills had to be at their apex during the tournament.
174,prevailing,/prɪˈveɪ.lɪŋ/,adj,давамгайлсан,The prevailing attitude among our neighbors is to be friendly but not too friendly.
175,collapse,/kəˈlæps/,v,гэнэт унах ,Thousands of buildings collapsed in the earthquake.
176,resist,/rɪˈzɪst/,v,Няцаах,"Although many native nations resisted, the U.S. government eventually took over almost all Indian land."
177,conquest,/ˈkɒŋ.kwest/,n,эзлэлт,The first recorded conquest of Mt. Everest was by Tensing Norgay and Sir Edmund Hilary.
178,severely,/sɪˈvɪə.li/,adv,хатуу ширүүнээр,Commanders severely punished any soldier who criticized the battle plan.
179,devise,/dɪˈvaɪz/,v,бодож олох,The soldiers devised a way to cross the river into enemy territory without being seen.
180,violation,/vaɪəleɪ.ʃ ə n/,n,зөрчил,The army’s testing of new weapons was a violation of the cease-fire agreement.
181,chronologically,/ˌkrɒn.əˈlɒdʒ.ɪ.kli/,adv,он тооллын дагуу,"Allen’s book is arranged chronologically, from the First Crusade in 1095 to the fall of Granada in 1492."
182,diminish,/dɪˈmɪn.ɪʃ/,v,багасгах,The Protestant Reformation diminished the power of the Roman Catholic Pope.
183,coincide,/ˌkəʊ.ɪnˈsaɪd/,v,давхцах,The Viking attacks on western Europe coincided with an abnormally warm period in the Earth’s climate.
184,longitude,/ˈlɒn.dʒɪ.tjuːd/,n,уртраг,"The prime meridian, a line running through Greenwich, England, is marked as 0° longitude."
185,consequence,/ˈkɒn t  .sɪ.kwən is/,n,үр дагавар,One consequence of global warming may be the flooding of lowlying islands.
186,milieu,/mɪljɜ/,n,орчин,Many Vietnam veterans did not feel comfortable in the antiwar social milieu of the 1970s.
187,core,/kɔː r /,n,гол цөм,"The core of India’s film industry is in Bombay, where all but a few film studios are located."
188,orwellian,/ɔːrˈwel.i.ən/,adj,улс төрийн оролцоо,Biometric devices like eye-scanners allow an Orwellian level of government knowledge about everyone’s location
189,deny,/dɪˈnaɪ/,v,хориглох,Movie star Allen Butcher denied that he and the Princess of Denmark were getting married.
190,reconciliation,/ˌrek. ə nˌsɪl.iˈeɪ.ʃ ə n/,n,эвлэрэл,South Africa avoided a bloodbath after apartheid by setting up a Truth and Reconciliation Commission.
191,allocate,/ˈæl.ə.keɪt,v,"Тараах, хуваарилах",The budget allocates $58 billion to the military and only about $2 billion to education.
192,net,/net/,adj,цэвэр,"My gross salary is around $35,000, but my net pay is closer to $29000."
193,commodity,/kəˈmɒd.ə.ti/,n,бараа бүтээгдэхүүн,Tulip bulbs were one of the most valuable commodities in seventeenth-century Holland.
194,per capita,/pəˈkæp.ɪ.tə/,adv,нэг хүнд ноогдох,The per capita income in the country is very low.
195,decline,/dɪˈklaɪn/,v,буурах,America’s railroads declined because the automobile dominated American life.
196,regulate,/ˈreg.jʊ.leɪt/,v,зохицуулах,Trading on the New York Stock Exchange is regulated by officials of the exchange and by federal law.
197,equity,/ˈek.wɪ.ti/,n,эзний өмч,"Barnard’s equity in the business was one-third, or about $350,000."
198,subsidy,/ˈsʌb.sɪ.di,n,татаас,Federal subsidies to grain farmers have helped them stay in business despite three years of bad weather
199,inflation,/ɪnˈfleɪ.ʃ ə n/,n,инфляци,"During the rapid inflation of the 1970s, prices for food and fuel sometimes rose 20 percent in a single month."
200,tangible,ˈtæn.dʒə.bl ̩/,adj,"бодит, биет",One tangible benefit of putting electrical cables underground is a clearer view of the sky.
201,accumulate,/əˈkjuː.mjʊ.leɪt/,v,"хураах, хуримтлуулах","Over several generations, the Hardington family accumulated vast wealth by buying and selling land."
202,nobility,/nə ʊ  ˈbɪl.ə.ti/,n,угсаатан,"In the Middle Ages, the nobility supposedly followed a code that required them to take care of poorer people who lived near their estates."
203,affluence,/ˈæf.lu.ən t s/,n,чинээлэг байдал,"Mohadzir grew up amid affluence, which poorly prepared him for his grad student days in crowded apartments with no servants."
204,prestige,/presti d  ʒ,n,нэр алдар,"The Grassleys enjoyed the prestige of living in the historic town, but they did not feel at home there."
205,elite,/ɪˈliːt/,adj,дээдсийн,"Messner is an elite climber who recently ascended an 8,000-meter mountain without extra oxygen."
206,privileged,/ˈprɪv. ə l.ɪdʒd/,adj,эрх дархтай,"Despite his privileged position in one of America’s most powerful families, the politician tried to portray himself as an ordinary person."
207,impoverish,/ɪmpɒv. ə r.ɪʃ/,v,хоосруулах,The collapse of the steel industry impoverished several counties in eastern Ohio.
208,prosper,/ˈprɒs.pə r /,v,цэцэглэн хөгжих,Vargas prospered after finally patenting his new inventions.
209,luxury,/ˈlʌk.ʃ ə r.i/,n,тансаг,Automakers try to give their cars an image of luxury by including extras like heated seats and satellite tracking systems.
210,working class,/ˌwɜː.kɪŋˈklɑːs/,n,ажилчин анги,"The Farrelly family, like other members of the working class, were proud of their jobs and did not want any handouts from charity or the government."
211,acquire,/əˈkwaɪə r /,v,олж авах эзэмших,"Bart hoped to acquire the 1898 D Indian Head penny, which would make his collection complete."
212,lease,/liːs/,v,түрээслэх,Some drivers prefer to lease a car rather than buy one.
213,assess,/əˈses,v,үнэлэх,"The Barnes building was assessed at $1.3 million, but it can probably sell for much more than that."
214,liability,/ˌlaɪ.əˈbɪl.ɪ.ti/,n,өр төлбөр,"Before you go river rafting, you sign a document releasing the trip leaders from liability in case of injury"
215,asset,"/ˈæs.et/ ,",n,хөрөнгө,"Some examples of assets are real estate, cash, and stock shares."
216,proprietor,/prəˈpraɪə.tə r /,n,эзэмшигч,"The proprietor of Hekman’s Windows is Nels Hekman, grandson of the people who established the factory."
217,hazardous,/ˈhæz.ə.dəs/,adj,аюултай,Parents have to be careful not to buy children’s clothes and toys made of hazardous materials.
218,safeguard,/ˈseɪf.gɑːd/,v,хамгаалах,A burglar-alarm system safeguards our house when we go away on vacation.
219,jointly,/dʒɔɪnt.li,adv,хамтран,"In most states, a husband and wife are assumed to own all their possessions jointly."
220,sole,/səʊl/,adj,ганцаараа,"Many people have wanted to invest in Harry’s publishing business, but he remains the sole owner."
221,compensate,/ˈkɒm.pən.seɪt/,v,нөхөн олгох,"My pay doesn’t properly compensate me for my efforts, but my other benefits, like health insurance, fill in the gap."
222,industrious,/ɪnˈdʌs.tri.əs/,adj,хөдөлмөрч,The Dutch settlements in Ottawa County were founded by industrious farmers who objected to frivolous behavior such as dancing.
